run_id,symptomatic_probability,mortality_probability,foi.CHN,foi.IND,foi.PAK,foi.IDN,foi.PNG,foi.KHM,foi.NPL,foi.LKA,foi.PHL,foi.BTN,foi.VNM,foi.MMR,foi.TLS,foi.PRK,foi.BGD,foi.THA,foi.LAO
28,0.005158124,0.125575084,0.213493701,0.172968729,0.075254537,0.373413592,0.307133653,0.041411241,0.153403766,0.075456547,0.213001754,0.079802368,0.230283493,0.055901345,0.118788058,0.29485211,0.192598911,0.035078469,0.046622231
29,0.005241216,0.703950081,0.185477641,0.153344268,0.219986511,0.154917174,0.336922024,0.041482629,0.149545534,0.109081777,0.172314348,0.125344779,0.093933747,0.158008998,0.443833218,0.148574859,0.161171219,0.066586918,0.120244417
30,0.00175117,0.198541856,0.333011067,0.168875312,0.142246292,0.354752892,0.349609481,0.079654059,0.082837246,0.223403182,0.167673981,0.061224137,0.097543297,0.168534751,0.249813981,0.181156159,0.14157707,0.056003337,0.099296836
31,0.005890992,0.401326118,0.391157496,0.058929064,0.061581857,0.403097448,0.15858093,0.086303807,0.067155327,0.142071278,0.195194667,0.150343548,0.094677128,0.202921608,0.388629943,0.158592455,0.156934001,0.067697235,0.237537262
32,0.004150242,0.302934886,0.054604333,0.066389815,0.32295564,0.214098162,0.377208076,0.053813337,0.180219536,0.098564396,0.162294037,0.06128883,0.154782949,0.154273898,0.272198941,0.068116622,0.10170636,0.082874717,0.074614646
33,0.004606137,0.122356812,0.37915417,0.156934036,0.172957296,0.326633257,0.25141655,0.091859098,0.080242942,0.147357881,0.214490328,0.063723054,0.120633503,0.052943036,0.218478192,0.129225419,0.174993469,0.058482768,0.044180037
34,0.003332757,0.067126632,0.199325796,0.157568832,0.081769145,0.346092278,0.37756307,0.088777977,0.196492488,0.0628726,0.190612948,0.059046492,0.03874402,0.059747157,0.144699257,0.147423682,0.138696336,0.062634689,0.046216639
35,0.001845811,0.144837609,0.061377007,0.152754352,0.138287955,0.348235269,0.22457204,0.053492158,0.15512459,0.147719821,0.195448604,0.060510004,0.089438092,0.199439203,0.268639324,0.217055637,0.129063103,0.039643227,0.035729564
36,0.00249988,0.316204858,0.220148908,0.060490701,0.228657809,0.227488863,0.349956989,0.132745599,0.143115066,0.14456518,0.038039653,0.135280249,0.10369459,0.176027531,0.194416264,0.159852449,0.123532755,0.072982459,0.052022586
37,0.003096722,0.667526462,0.203134489,0.05958964,0.228013121,0.112026446,0.21604244,0.036968333,0.123296847,0.168645402,0.048772474,0.058977879,0.063393718,0.105739974,0.324326856,0.133380752,0.096246447,0.041114102,0.096800106
38,0.013890104,0.563411546,0.091111844,0.17707965,0.385738632,0.409623165,0.375438805,0.114133089,0.08372176,0.162347973,0.238777646,0.137367599,0.116328359,0.072492991,0.219525671,0.077966793,0.193721917,0.011632898,0.165359359
39,0.00669175,0.378233569,0.307974632,0.151443731,0.103847739,0.340692802,0.337365015,0.094453227,0.081811602,0.131274913,0.17260499,0.064295373,0.166585637,0.159889378,0.139437218,0.171154735,0.093884101,0.046847636,0.064801131
40,0.00418426,0.183332306,0.074585269,0.159483052,0.088349609,0.34704948,0.388229874,0.081195526,0.077159093,0.197006491,0.214073848,0.064147342,0.168460516,0.152405788,0.117753307,0.079787089,0.144594659,0.030862165,0.086639729
41,0.007741464,0.289113472,0.391285107,0.073258249,0.065462745,0.3150198,0.418908851,0.080138611,0.172707978,0.073304727,0.213811569,0.082205556,0.164000385,0.155244335,0.236901766,0.061935466,0.198530056,0.042423413,0.117242329
42,0.005393327,0.036196375,0.174528275,0.17293375,0.170440712,0.214158941,0.405014358,0.04972008,0.07934846,0.342105486,0.187117544,0.134574992,0.106556873,0.197875014,0.194032804,0.028945506,0.174456532,0.070625964,0.111551573
43,0.002562624,0.144966787,0.22735143,0.159643934,0.060847315,0.18037979,0.27684481,0.042086411,0.06089499,0.036486456,0.056242511,0.061521988,0.105426353,0.075903938,0.150826391,0.134719674,0.157979525,0.078577977,0.119926976
44,0.001341006,0.217461726,0.249743404,0.067193952,0.123870638,0.10787046,0.427871555,0.092290796,0.090363528,0.078432288,0.204665289,0.058085273,0.066235422,0.104480138,0.421379223,0.143729861,0.154100139,0.055262376,0.068535822
45,0.002965315,0.377495492,0.107479365,0.173592725,0.148444402,0.386414756,0.347461294,0.039878581,0.134988849,0.123404769,0.186692514,0.079493468,0.077981495,0.141847311,0.171275287,0.081160129,0.156025586,0.054730174,0.145943938
46,0.007168448,0.234843163,0.186108438,0.162820207,0.212803115,0.412274976,0.3848975,0.037452479,0.101162603,0.195959176,0.168914131,0.133801205,0.12817027,0.153405109,0.395446153,0.158252488,0.176051758,0.081358256,0.093966522
47,0.004895957,0.222139105,0.181127318,0.151125215,0.156680515,0.324373388,0.152701794,0.126820001,0.061888122,0.1768338,0.059036202,0.130175112,0.063115338,0.153733097,0.245926894,0.061041943,0.150923292,0.018923034,0.118305208
48,0.005160049,0.389522771,0.352818496,0.048345326,0.128472374,0.375566536,0.41675271,0.062892061,0.077016565,0.065336877,0.165416011,0.080592058,0.099517671,0.19432703,0.228397331,0.154776437,0.175788402,0.032351625,0.094598951
49,0.012541868,0.198118682,0.086072388,0.056159744,0.104941222,0.374426631,0.206648996,0.095504773,0.197952227,0.088528996,0.043963543,0.062682315,0.143464256,0.150172885,0.173443136,0.119090589,0.092756822,0.026629304,0.068390916
50,0.001787214,0.341157159,0.214781462,0.143144187,0.156498115,0.405842092,0.346119178,0.129345211,0.078732584,0.150950626,0.057338665,0.129873042,0.085765584,0.182856725,0.21900257,0.112966629,0.176374047,0.077104607,0.097552612
51,0.002334503,0.489902603,0.194827715,0.1671221,0.080396788,0.235966804,0.509438683,0.09124228,0.062776882,0.345723322,0.053944053,0.099829755,0.113098676,0.13039507,0.355502714,0.064916948,0.095620677,0.028313348,0.061987325
52,0.003190837,0.340126585,0.070578661,0.148695384,0.103065288,0.358944508,0.252843402,0.064283891,0.20730007,0.188453706,0.153721894,0.133811558,0.103969721,0.160022238,0.19977101,0.34100434,0.1297357,0.046914082,0.0650942
53,0.00194873,0.543595763,0.085727107,0.155027233,0.100530053,0.310374566,0.202926137,0.137300552,0.064070691,0.058178697,0.213739632,0.064834716,0.092310459,0.263543865,0.476363729,0.18320895,0.140472414,0.06218463,0.035617864
54,0.008046363,0.102050227,0.211103713,0.058011363,0.105274962,0.263242655,0.268275182,0.007141304,0.140955913,0.207053612,0.248841497,0.128462178,0.127207879,0.207329363,0.400618271,0.187737969,0.149685161,0.063984665,0.207663536
55,0.003790682,0.444750265,0.077507034,0.173432161,0.084214139,0.350046023,0.330578645,0.046956564,0.147790582,0.134047067,0.048279206,0.127252158,0.153607152,0.097669242,0.343198891,0.134208949,0.142860832,0.031215196,0.072994491
56,0.003438903,0.314871264,0.132155829,0.161174373,0.157988484,0.224930423,0.285810286,0.105179893,0.151808489,0.336619081,0.041953862,0.062575121,0.13514984,0.176255869,0.372301641,0.212754875,0.099749271,0.055792786,0.088025384
57,0.010224983,0.184301366,0.184135691,0.067874282,0.064096292,0.405744009,0.148438672,0.065633514,0.060717479,0.195496822,0.047227844,0.06948044,0.065635311,0.236367632,0.166820924,0.185173049,0.196669821,0.05015753,0.079349164
58,0.001652491,0.028631813,0.221159699,0.157534755,0.064017603,0.341742745,0.305545884,0.114287661,0.079558736,0.172583358,0.20680309,0.106186818,0.072882165,0.081641098,0.197171251,0.132382584,0.092277862,0.079599788,0.063698899
59,0.001929138,0.475951518,0.256761677,0.173019557,0.177171319,0.432382958,0.415910307,0.035980253,0.129885685,0.18474774,0.200970683,0.093100365,0.082733849,0.152847496,0.433210689,0.088593336,0.179879273,0.045152895,0.096172946
60,0.002007286,0.30182049,0.322702606,0.166803971,0.132653166,0.236256374,0.14750871,0.046952533,0.068381597,0.166003766,0.064844738,0.101158492,0.093250494,0.162558693,0.184021545,0.097969783,0.155643707,0.072464032,0.097165676
61,0.009851062,0.234855544,0.45643528,0.150024056,0.0599669,0.196486508,0.203454812,0.073353095,0.161242539,0.097598288,0.041054257,0.063511358,0.067311103,0.084535394,0.270364015,0.023834235,0.112780731,0.045056762,0.066988878
62,0.005030171,0.34316014,0.176938499,0.059198333,0.148944702,0.291367348,0.315938947,0.072687618,0.134253865,0.13444044,0.218368831,0.06392157,0.207913638,0.129890711,0.226455442,0.06287571,0.157252231,0.048849267,0.157321551
63,0.003738329,0.335361469,0.106839819,0.180931701,0.17420664,0.131607583,0.171280106,0.112677996,0.070073477,0.143131683,0.175442627,0.170818333,0.092498443,0.107382071,0.36061054,0.075345925,0.096494969,0.031434227,0.111548293
64,0.002014749,0.099309498,0.078745289,0.055419727,0.175998771,0.363245474,0.217290954,0.079568715,0.136536007,0.071104978,0.231070667,0.129819603,0.121176456,0.111929865,0.20183897,0.074957151,0.157755103,0.058687587,0.099898087
65,0.001722111,0.205343338,0.231543246,0.152121506,0.050192282,0.379184757,0.272705925,0.091276199,0.132384301,0.397780664,0.244219035,0.13323242,0.051991234,0.059453136,0.249394294,0.199507209,0.165207313,0.044810987,0.137213551
66,0.010341369,0.278060686,0.330084864,0.061078168,0.163540386,0.206382835,0.137637174,0.05893026,0.13111824,0.160157821,0.043323993,0.125266763,0.10892215,0.199558337,0.364668254,0.154841024,0.086945536,0.059769586,0.07640616
67,0.002459228,0.270785277,0.314211,0.15484759,0.090548866,0.152662264,0.317618636,0.053796124,0.081499425,0.222263344,0.157110606,0.091132575,0.206702072,0.083228288,0.366480316,0.18912609,0.166755928,0.082134031,0.111765466
68,0.001724647,0.177691023,0.137081254,0.171258872,0.214952462,0.37243943,0.30452333,0.126236904,0.057863071,0.193513669,0.062021085,0.13498422,0.135826222,0.151960431,0.304889528,0.355320271,0.156026434,0.04222926,0.073488708
69,0.007744315,0.04627175,0.198751181,0.15591308,0.247378257,0.195806079,0.199655191,0.123191659,0.062618587,0.048326683,0.060250651,0.136675778,0.045934222,0.322768402,0.215838315,0.082331108,0.162509566,0.03603621,0.110363497
70,0.005251373,0.406299025,0.164174514,0.16709324,0.060320887,0.206701054,0.420552974,0.089708395,0.133252225,0.149171067,0.165293114,0.086426532,0.054820212,0.129248206,0.176538578,0.281230844,0.210820063,0.040963796,0.056910114
71,0.003560991,0.679122012,0.180051489,0.147593823,0.091699851,0.332920691,0.240232715,0.094726087,0.178027348,0.15260408,0.216469615,0.172020582,0.06295778,0.133757002,0.112554754,0.169718776,0.168264777,0.072838846,0.158706062
72,0.004414305,0.288702768,0.284051556,0.152037442,0.172568789,0.386425194,0.201351397,0.111228411,0.128054155,0.151182092,0.060262214,0.061877364,0.124566489,0.091790227,0.345954847,0.308912918,0.160260862,0.064676432,0.058323659
73,0.0022425,0.081843893,0.178687437,0.17467081,0.392530166,0.394126774,0.277730078,0.068634666,0.152278,0.307352837,0.1788891,0.078409468,0.191104535,0.16095259,0.182862835,0.066130102,0.104502105,0.053836306,0.059271502
74,0.005277485,0.380868734,0.167881345,0.056515135,0.131817973,0.211860466,0.269257899,0.041203978,0.186142488,0.08814736,0.057327633,0.103977518,0.117651478,0.051824628,0.396694922,0.087240893,0.100282986,0.05561526,0.149201614
75,0.001695677,0.452348822,0.052879229,0.058360767,0.210600153,0.429103411,0.383942479,0.081438718,0.082500016,0.051743128,0.047490785,0.074355683,0.119169536,0.148770229,0.374224455,0.097755947,0.170109394,0.028819636,0.053767161
76,0.00395145,0.359256917,0.209788059,0.175207518,0.118305717,0.175182454,0.391374119,0.054884509,0.059286753,0.099585822,0.050233786,0.063483878,0.059185708,0.103546129,0.212654017,0.150206676,0.154416671,0.053918161,0.073360243
77,0.006814332,0.552808037,0.335415178,0.059791695,0.161947726,0.414351021,0.376756741,0.053866173,0.129070842,0.096552217,0.055753495,0.081252592,0.120969578,0.056522117,0.364030263,0.133108578,0.186448681,0.055316461,0.105708051
78,0.002214417,0.232148128,0.282148812,0.06287893,0.247930242,0.334554812,0.137434463,0.071763143,0.067101533,0.189140818,0.2206015,0.076479547,0.068151172,0.35452226,0.134959251,0.058535475,0.090342034,0.084332661,0.116347423
79,0.002763028,0.314234085,0.195384365,0.169306897,0.381401594,0.351814614,0.140777021,0.036467221,0.133157094,0.111375113,0.274203445,0.133239782,0.094888372,0.204895384,0.345594162,0.381091045,0.179603296,0.076658126,0.02996948
80,0.004309421,0.057540124,0.189307236,0.149901898,0.291795482,0.179600859,0.185921055,0.104311757,0.164999701,0.143627838,0.225587981,0.13389612,0.215880498,0.092015235,0.350153764,0.094418797,0.213329445,0.048951533,0.10146759
81,0.00334897,0.289135645,0.185998415,0.175548786,0.171276051,0.213458701,0.332147147,0.067032883,0.062074715,0.151143012,0.200303922,0.077170565,0.143773398,0.242056738,0.428285536,0.375549744,0.087247914,0.031202599,0.040275127
82,0.002589667,0.280537697,0.055466611,0.068526814,0.108006294,0.262799153,0.401604693,0.0526788,0.114961468,0.196388453,0.163730252,0.176296679,0.116391583,0.365426805,0.413236502,0.084995606,0.135741875,0.011302998,0.058881657
83,0.001506217,0.080966074,0.134354269,0.173206698,0.175104735,0.359640096,0.307975248,0.117782575,0.170002967,0.06261396,0.061537714,0.132683653,0.094662629,0.070607724,0.368589665,0.372242213,0.145490802,0.04065192,0.049816277
84,0.002695563,0.155971355,0.370846639,0.154447717,0.169790472,0.414015857,0.317648444,0.093005816,0.059320889,0.122959298,0.212577898,0.063717984,0.129241035,0.208780791,0.155735886,0.040616793,0.170455212,0.055896895,0.093413187
85,0.004185423,0.314772785,0.277744119,0.159107053,0.061580093,0.126159272,0.335262803,0.078089561,0.127375885,0.338049769,0.052401416,0.081427363,0.128508835,0.063242552,0.301344852,0.102932882,0.179517357,0.071625232,0.119790362
86,0.003004729,0.334847706,0.080514577,0.168916438,0.216018363,0.272081721,0.459787434,0.052097356,0.099505151,0.038802712,0.173210057,0.132288302,0.136695728,0.032869469,0.356493606,0.134368652,0.152367101,0.030599743,0.13127047
87,0.005380627,0.348736935,0.400601633,0.149947977,0.10198556,0.098882676,0.198211836,0.037942879,0.167679013,0.077314674,0.156759162,0.064631897,0.170535351,0.057254967,0.392881632,0.1404715,0.179200068,0.045600006,0.121912901
88,0.002496369,0.387304019,0.063700311,0.160856575,0.172803469,0.34014531,0.188292933,0.054418294,0.157213517,0.059782426,0.168886535,0.08070906,0.058330253,0.385428705,0.42777546,0.22661035,0.157995685,0.020724555,0.105975362
89,0.003014978,0.48170314,0.232708755,0.155458439,0.164547797,0.44440703,0.331492122,0.064664259,0.079721367,0.074364759,0.19962592,0.167201775,0.202740825,0.179160769,0.111909811,0.101234558,0.137209178,0.053569129,0.2809695
90,0.002745109,0.448031541,0.199016972,0.159174378,0.039951299,0.236782769,0.312982338,0.100888346,0.079429413,0.10446685,0.18793122,0.140311044,0.097136821,0.08221131,0.336265185,0.176689469,0.093990219,0.029809808,0.093316869
91,0.00893147,0.19833316,0.222939619,0.171356803,0.147754264,0.333390006,0.330704113,0.085198708,0.148597268,0.052272268,0.041218573,0.099463444,0.04402551,0.102246295,0.248982621,0.069837902,0.13921712,0.034393047,0.147068992
92,0.003693068,0.490850065,0.061820498,0.060362624,0.157217976,0.408578416,0.391224719,0.129322879,0.079336847,0.211794194,0.167841729,0.13014892,0.097441595,0.101282452,0.430248479,0.027472619,0.200970118,0.039123966,0.074457738
93,0.005085933,0.362359215,0.191914545,0.058178697,0.136558506,0.426708544,0.197765915,0.058269481,0.077785448,0.079757959,0.235098006,0.15347739,0.07236706,0.043602065,0.385106204,0.074232056,0.10889484,0.028382803,0.075638467
94,0.003697486,0.217446688,0.081054212,0.149891701,0.294460939,0.249969575,0.352395985,0.11423396,0.05577148,0.115544573,0.211795237,0.062374118,0.112077323,0.299950247,0.424711392,0.191154945,0.143312197,0.0462609,0.20483544
95,0.002503495,0.783786678,0.090722674,0.175046353,0.042383529,0.34988202,0.300418767,0.116993135,0.079420456,0.131068675,0.175650778,0.11947558,0.090466011,0.060551363,0.170258837,0.149558793,0.09150569,0.035350681,0.129092119
96,0.003838265,0.710030433,0.263111537,0.175801707,0.132378329,0.380019863,0.253502143,0.107807609,0.060242271,0.161883185,0.04714341,0.081109842,0.204628828,0.084751489,0.378723474,0.042572577,0.085808173,0.044510248,0.063127125
97,0.003134198,0.563096905,0.315055204,0.164558366,0.063045057,0.425784833,0.209895162,0.043313904,0.128609778,0.060050323,0.210617237,0.060775512,0.133583799,0.048018434,0.267569757,0.13598555,0.165417367,0.058926938,0.061382372
98,0.004746096,0.395262873,0.154947372,0.175476215,0.075996344,0.191823232,0.450647981,0.095388009,0.168727341,0.090033954,0.057243745,0.079747115,0.081880068,0.054233315,0.342438825,0.078886692,0.172996677,0.036880909,0.101544208
99,0.003877816,0.29197304,0.208144598,0.165323409,0.104810768,0.193994634,0.317272601,0.032767185,0.088564836,0.169933249,0.212221906,0.112343406,0.203713536,0.363710853,0.186893915,0.066759851,0.089267483,0.050135616,0.046328543
100,0.002306802,0.457572136,0.062497051,0.156982318,0.423959952,0.24798163,0.300141481,0.093640641,0.078198478,0.347560698,0.220134666,0.135446189,0.325221072,0.057318744,0.222760504,0.065838633,0.169884056,0.072562284,0.02366116
101,0.00264816,0.01691054,0.352497452,0.151521304,0.142429062,0.35160924,0.189101934,0.033527528,0.127105993,0.101526069,0.248160907,0.130500414,0.075740093,0.196342387,0.206161086,0.05597811,0.157982749,0.070741868,0.073977809
102,0.00226545,0.027600272,0.333656358,0.147823402,0.061954589,0.448592003,0.185583329,0.106075397,0.064455117,0.178001965,0.170802531,0.080907263,0.069674024,0.385616597,0.376217221,0.105215701,0.156689642,0.069040525,0.083696762
103,0.00544905,0.37709406,0.406635841,0.179109959,0.091881252,0.257700012,0.186247665,0.019317709,0.062914254,0.190573657,0.183116728,0.129998496,0.127424523,0.159359446,0.226774466,0.102714219,0.149495252,0.076266478,0.284277004
104,0.003098991,0.404142364,0.240703508,0.170093417,0.299379127,0.400930256,0.13492072,0.063100168,0.068746582,0.135404927,0.184961893,0.136117957,0.081093416,0.07649896,0.218839763,0.351888793,0.150822128,0.033870919,0.043394706
105,0.011387385,0.5039513,0.211941725,0.052576553,0.06029731,0.21832985,0.42334325,0.096494499,0.088525041,0.145364391,0.038595163,0.115458016,0.13440776,0.148092221,0.204788613,0.055765603,0.093842314,0.04535433,0.028185996
106,0.002982474,0.17691573,0.409731338,0.064398502,0.232961392,0.118052743,0.19053973,0.044829097,0.094960665,0.146160332,0.189065341,0.15319259,0.146392271,0.162707352,0.198742932,0.175863271,0.110821323,0.012519037,0.233816822
107,0.004158385,0.563354178,0.06572047,0.181663932,0.146757444,0.302989277,0.319306677,0.097808974,0.120867313,0.192233212,0.047140586,0.065124073,0.077608819,0.154637926,0.401686935,0.096703216,0.154370833,0.036741476,0.192301959
108,0.002963422,0.439876686,0.082598421,0.049754992,0.09619585,0.268337247,0.187642497,0.110919637,0.083588859,0.177336128,0.233757636,0.162929027,0.080547019,0.091853745,0.374544646,0.05322795,0.109858055,0.08876111,0.199212183
109,0.003036058,0.561984599,0.202920898,0.149265653,0.145179188,0.401604693,0.430802715,0.063290693,0.109131177,0.30747559,0.225822856,0.180939507,0.131799873,0.411246698,0.182060446,0.038635333,0.100852495,0.046546756,0.056765615
110,0.011723889,0.278216992,0.318833555,0.153758582,0.108133342,0.30719258,0.406084511,0.078847509,0.133807456,0.117560589,0.174974739,0.134383551,0.175856576,0.112511602,0.38813921,0.237475023,0.148431323,0.02489529,0.086600047
111,0.002598002,0.101248034,0.224698358,0.175135675,0.1857579,0.364956904,0.271834729,0.111516055,0.095944256,0.047981503,0.051701475,0.163744101,0.134475507,0.097000799,0.216578921,0.220178428,0.157729615,0.068935146,0.076134336
112,0.003460371,0.01534211,0.095124409,0.155068125,0.230013387,0.21028708,0.30244734,0.068086881,0.07967761,0.080782998,0.1855233,0.078387729,0.060875972,0.124885867,0.448930704,0.152887428,0.092577564,0.072644486,0.097725021
113,0.001971164,0.371997954,0.078130967,0.056852234,0.116963301,0.232890222,0.294197373,0.127583642,0.165452821,0.16853915,0.18846679,0.064054852,0.097480496,0.174377782,0.224663101,0.063321281,0.086767702,0.057008298,0.114204201
114,0.008836346,0.237010928,0.373013514,0.155405721,0.132348236,0.189193061,0.194070369,0.128021378,0.131136479,0.05491716,0.049673318,0.13262676,0.082932222,0.234220474,0.152926322,0.315879725,0.155358205,0.017980779,0.048566934
115,0.003870161,0.08311688,0.080538402,0.054107617,0.082121784,0.171653837,0.364461965,0.09507604,0.080896354,0.199638502,0.247776644,0.191681616,0.189980306,0.033604763,0.147220368,0.161888052,0.158129096,0.043857869,0.121466651
116,0.005260771,0.067891406,0.192149756,0.174657016,0.069594336,0.195947032,0.223745314,0.042351787,0.130994428,0.368727299,0.059280298,0.059574225,0.101942374,0.25618063,0.180158006,0.185067734,0.103256719,0.039811578,0.098533792
117,0.00451032,0.404658225,0.383348413,0.173889759,0.177055426,0.330883413,0.114174556,0.096264954,0.0918356,0.150489645,0.213299681,0.060207204,0.085837564,0.099075905,0.413373245,0.08343173,0.093784624,0.046562684,0.092842682
